iter	Logloss
0	0.672541626
1	0.6532036133
2	0.6357456055
3	0.6186186523
4	0.6031585693
5	0.5895628662
6	0.5745480347
7	0.5638920898
8	0.5527458496
9	0.5400552979
10	0.5280273438
11	0.5191106567
12	0.510744751
13	0.5038560486
14	0.4947418823
15	0.486449646
16	0.4791418152
17	0.4708565063
18	0.4654151611
19	0.4592818909
20	0.4547469177
21	0.4491229248
22	0.4431790161
23	0.4391376343
24	0.4354438782
25	0.4310892334
26	0.4268323364
27	0.4220463867
28	0.4180285034
29	0.4138371887
30	0.4110347595
31	0.4088046265
32	0.4061584167
33	0.4028154907
34	0.3991701355
35	0.3969674988
36	0.3950454102
37	0.3922164612
38	0.3898475952
39	0.3876878052
40	0.3851451721
41	0.3829237671
42	0.3810134277
43	0.3792175598
44	0.3777604065
45	0.3764552307
46	0.3746387329
47	0.3732048035
48	0.3718688965
49	0.370427063
50	0.3688517761
51	0.3676193848
52	0.3670514526
53	0.3656498108
54	0.3643244629
55	0.3629979248
56	0.362068634
57	0.3606479797
58	0.359420105
59	0.3585284729
60	0.3576444702
61	0.3566543884
62	0.3558735352
63	0.3551073608
64	0.3541072998
65	0.3534324036
66	0.35265271
67	0.3520102844
68	0.3509086609
69	0.3500419922
70	0.3493616333
71	0.3484772339
72	0.347597168
73	0.3468619995
74	0.3465328064
75	0.3455175171
76	0.3449135742
77	0.3442108765
78	0.3434063721
79	0.3430499573
80	0.3425258789
81	0.3418323975
82	0.3412664185
83	0.3408425903
84	0.3403696594
85	0.3399776306
86	0.3395814209
87	0.3391689453
88	0.3388263245
89	0.3385553894
90	0.3383418579
91	0.3379901733
92	0.3376182251
93	0.3370296021
94	0.3366085815
95	0.3362149048
96	0.335621582
97	0.3352428894
98	0.335020752
99	0.3346622925
100	0.3341984253
101	0.33384198
102	0.3336146851
103	0.3333070679
104	0.3330095215
105	0.332869812
106	0.3326696167
107	0.3324644775
108	0.3320184937
109	0.3317628174
110	0.331618927
111	0.3313895874
112	0.3310732727
113	0.3309649658
114	0.3307927246
115	0.3304076538
116	0.3301549072
117	0.3299525757
118	0.3297335815
119	0.3294423218
120	0.3291572266
121	0.3290354919
122	0.3287142334
123	0.3285300293
124	0.3282647705
125	0.3280496216
126	0.3278754272
127	0.3276864014
128	0.3276355896
129	0.3274974365
130	0.3272671509
131	0.3270350037
132	0.3269020996
133	0.3265601196
134	0.3265152588
135	0.3261795044
136	0.3260150452
137	0.325672821
138	0.3253878174
139	0.3250335388
140	0.3247294922
141	0.3245949707
142	0.3243630066
143	0.3241165771
144	0.3239046021
145	0.3236694641
146	0.3234954834
147	0.3234181213
148	0.3232285767
149	0.3231800537
150	0.3230463867
151	0.3229372864
152	0.3227692871
153	0.3225171204
154	0.3223256836
155	0.3222736511
156	0.322
157	0.3219365234
158	0.3217821655
159	0.3217237549
160	0.3215829468
161	0.3215708008
162	0.3214374084
163	0.3212202759
164	0.3210977478
165	0.3209464417
166	0.3207161865
167	0.3205279541
168	0.3204803162
169	0.3204013672
170	0.3203469543
171	0.3203075562
172	0.3202561035
173	0.3202010498
174	0.3200211792
175	0.3199403381
176	0.319870636
177	0.3197868042
178	0.3196685181
179	0.3194154663
180	0.319132019
181	0.3190104675
182	0.3189905396
183	0.3188460083
184	0.3188140869
185	0.3187527771
186	0.3187272339
187	0.3186375732
188	0.3185114746
189	0.318278717
190	0.3180897217
191	0.3179353638
192	0.3178897095
193	0.317869812
194	0.3178330078
195	0.3177995605
196	0.3176650085
197	0.3176311951
198	0.3175448608
199	0.3174334717
200	0.3173549194
201	0.3172814331
202	0.3172473755
203	0.3170708313
204	0.3168381348
205	0.31675
206	0.3166702271
207	0.3165640259
208	0.3165347595
209	0.3164415283
210	0.3161409302
211	0.316078186
212	0.3160259399
213	0.3159920654
214	0.3159173584
215	0.3158452148
216	0.3156260376
217	0.3155336609
218	0.3155111694
219	0.3154101868
220	0.3152613525
221	0.3151996155
222	0.3151069946
223	0.3150645142
224	0.3149584351
225	0.3149212646
226	0.3148439636
227	0.3147282715
228	0.3145460205
229	0.3145258789
230	0.3145026855
231	0.3144682617
232	0.3144060059
233	0.3143179321
234	0.3142615356
235	0.3140273743
236	0.3138203735
237	0.3137218933
