iter	Passed	Remaining
0	167	167698
1	185	92561
2	194	64525
3	204	50973
4	215	42861
5	226	37533
6	236	33614
7	250	31033
8	261	28768
9	272	26940
10	282	25428
11	293	24140
12	305	23169
13	316	22288
14	327	21514
15	340	20915
16	350	20250
17	360	19660
18	370	19123
19	381	18681
20	392	18286
21	402	17914
22	413	17574
23	424	17263
24	435	16965
25	445	16697
26	456	16435
27	466	16195
28	477	15992
29	491	15880
30	504	15763
31	512	15496
32	523	15350
33	535	15209
34	548	15112
35	560	15009
36	571	14879
37	582	14756
38	594	14653
39	606	14566
40	618	14473
41	631	14393
42	642	14295
43	653	14197
44	663	14087
45	674	13988
46	685	13897
47	696	13804
48	706	13711
49	716	13620
50	727	13544
51	738	13460
52	749	13391
53	760	13326
54	771	13252
55	781	13174
56	792	13107
57	803	13047
58	813	12978
59	825	12928
60	836	12870
61	847	12815
62	857	12754
63	868	12698
64	879	12649
65	889	12584
66	900	12538
67	910	12485
68	921	12436
69	931	12382
70	942	12335
71	953	12288
72	964	12241
73	974	12192
74	985	12150
75	996	12109
76	1006	12062
77	1019	12054
78	1030	12015
79	1041	11973
80	1051	11934
81	1063	11901
82	1075	11880
83	1086	11849
84	1097	11811
85	1108	11780
86	1120	11756
87	1131	11727
88	1142	11694
89	1153	11665
90	1164	11635
91	1176	11606
92	1186	11576
93	1197	11545
94	1208	11516
95	1219	11482
96	1229	11448
97	1240	11415
98	1251	11387
99	1261	11356
100	1272	11326
101	1283	11299
102	1293	11268
103	1305	11244
104	1315	11215
105	1326	11185
106	1337	11162
107	1348	11134
108	1359	11111
109	1369	11083
110	1380	11056
111	1391	11029
112	1402	11006
113	1408	10949
114	1419	10923
115	1429	10896
116	1440	10874
117	1451	10852
118	1462	10828
119	1473	10802
120	1483	10777
121	1494	10757
122	1505	10734
123	1518	10724
124	1529	10707
125	1540	10687
126	1552	10668
127	1563	10649
128	1574	10631
129	1586	10617
130	1597	10597
131	1607	10573
132	1618	10549
133	1628	10526
134	1639	10504
135	1649	10481
136	1660	10460
137	1671	10439
138	1681	10418
139	1692	10394
140	1702	10374
141	1713	10351
142	1724	10337
143	1735	10315
144	1745	10294
145	1756	10271
146	1766	10251
147	1777	10229
148	1787	10208
149	1797	10187
150	1808	10166
151	1819	10148
152	1829	10128
153	1840	10110
154	1851	10092
155	1862	10078
156	1873	10058
157	1879	10018
158	1890	10000
159	1901	9985
160	1912	9968
161	1923	9948
162	1934	9932
163	1945	9916
164	1956	9899
165	1966	9880
166	1976	9861
167	1987	9841
168	1997	9822
169	2007	9802
170	2018	9784
171	2028	9764
172	2038	9746
173	2049	9727
174	2059	9709
175	2070	9692
176	2081	9676
177	2091	9660
178	2103	9645
179	2114	9632
180	2125	9616
181	2136	9601
182	2146	9585
183	2157	9565
184	2166	9545
185	2177	9528
186	2189	9521
187	2199	9502
188	2210	9485
189	2221	9469
190	2231	9451
191	2242	9435
192	2253	9421
193	2263	9405
194	2274	9389
195	2282	9364
196	2293	9347
197	2303	9331
198	2310	9299
