Year,Total Revenue,iPhone Revenue,iPhone Units,iPad Revenue,iPad Units,Wearable Home and Accessories,Apple Watch Units,Airpods Units,HomePod Units,Mac Revenue,Mac Units,Apple Services Revenue
2006,19100000000,,,,,,,,,,,
2007,24400000000,,,,,,,,,,,
2008,37400000000,1800000000,11600000,,,,,,,,,
2009,42700000000,13000000000,20700000,,,,,,,13600000000,10300000,
2010,65000000000,25100000000,39900000,,,,,,,17200000000,13400000,
2011,108000000000,45900000000,72300000,19100000000,32300000,,,,,21600000000,16500000,
2012,156300000000,78600000000,125000000,30900000000,58100000,,,,,23000000000,18000000,
2013,170800000000,91200000000,150200000,31900000000,97000000,,,,,21300000000,16100000,15800000000
2014,182600000000,101900000000,169200000,30200000000,67900000,,,,,23900000000,18800000,17800000000
2015,233600000000,155000000000,231200000,23200000000,53800000,9800000000,8300000,,,25300000000,20400000,19600000000
2016,215400000000,136800000000,211800000,20600000000,45500000,10900000000,11900000,,,22700000000,18300000,24100000000
2017,229200000000,141200000000,216700000,19200000000,43700000,12700000000,12800000,15000000,,25600000000,18900000,29800000000
2018,265500000000,166200000000,217700000,18600000000,43500000,17300000000,22500000,35000000,4200000,25200000000,18000000,36900000000
2019,260100000000,142300000000,187200000,21200000000,45200000,24400000000,30700000,60000000,5900000,24700000000,17500000,46100000000
2020,274500000000,137700000000,196900000,23700000000,71100000,30600000000,43100000,114000000,9800000,28400000000,20200000,53600000000
2021,365800000000,191900000000,242000000,31800000000,57800000,38300000000,46100000,85000000,14800000,35100000000,25700000,68400000000
2022,394100000000,205400000000,232200000,29200000000,61800000,41100000000,53900000,82000000,13600000,40000000000,26100000,78000000000
