CITY,POSTALCODE,STREET,BUILDING,COUNTRY,REGION,ADDRESSTYPE,VALIDITY_STARTDATE,VALIDITY_ENDDATE,LATITUDE,LONGITUDE,count,CITY_null,POSTALCODE_null,STREET_null,BUILDING_null,COUNTRY_null,REGION_null,ADDRESSTYPE_null,VALIDITY_STARTDATE_null,VALIDITY_ENDDATE_null,LATITUDE_null,LONGITUDE_null,count_null,CITY_count,POSTALCODE_count,STREET_count,BUILDING_count,COUNTRY_count,REGION_count,ADDRESSTYPE_count,VALIDITY_STARTDATE_count,VALIDITY_ENDDATE_count,LATITUDE_count,LONGITUDE_count,CITY_null_count,POSTALCODE_null_count,STREET_null_count,BUILDING_null_count,COUNTRY_null_count,REGION_null_count,ADDRESSTYPE_null_count,VALIDITY_STARTDATE_null_count,VALIDITY_ENDDATE_null_count,LATITUDE_null_count,LONGITUDE_null_count,count_null_count
West Nyack,10994,Settlers Lane,2661.75,US,AMER,2.0,20000101,99991231,41.100057,-73.973562,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Fair Oaks,95628,Woodland Terrace,2661.75,US,AMER,2.0,20000101,99991231,38.638355,-121.286683,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dunn,28334,Layman Avenue,2250.0,US,AMER,2.0,20000101,99991231,35.312013,-78.60995,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chicago,60605,University Drive,2661.75,US,AMER,2.0,20000101,99991231,41.874591,-87.627303,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ocala,34471,Bagwell Avenue,1565.0,US,AMER,2.0,20000101,99991231,29.183977,-82.118413,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Callenberg,02681,Kantstraße,56.0,DE,EMEA,2.0,20000101,99991231,51.096588,14.433772,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Trimport,54636,Luetzowplatz,74.0,DE,EMEA,2.0,20000101,99991231,49.908759,6.578609,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Berlin Mariendorf,12107,Brandenburgische Straße,10.0,DE,EMEA,2.0,20000101,99991231,52.492245,13.310903,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marne,25705,An Der Urania,30.0,DE,EMEA,2.0,20000101,99991231,53.952609,9.018139,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Augsburg,86045,Sonnenallee,43.0,DE,EMEA,2.0,20000101,99991231,48.370625,10.893961,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Glyntaff,CF37 3JJ,Brynglas Road,106.0,GB,EMEA,2.0,20000101,99991231,51.597073,-3.32135,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stanton Wick,BS18 9DW,Pier Road,86.0,GB,EMEA,2.0,20000101,99991231,51.355959,-2.557565,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Talgarth,LD3 7QD,Scotsburn Rd,75.0,GB,EMEA,2.0,20000101,99991231,51.995666,-3.230553,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Stonestreet Green,TN25 2XG,Broomfield Place,48.0,GB,EMEA,2.0,20000101,99991231,51.098513,0.950137,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
London,SE14 8JW,Guild Street,50.0,GB,EMEA,2.0,20000101,99991231,51.515982,-0.091245,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
