INDEX,INCOME,MARITAL STATUS,SEX,EDUCATION,JOB,TRAVEL TIME,USE,MILES CLOCKED,CAR TYPE,CAR AGE,CITY,POSTAL CODE
1,125301.2425,No,F,Bachelors,Blue Collar,45.70301258,Commercial,17430.0,Sports Car,7.0,Texas,42420.0
2,50815.44531,No,M,High School,Blue Collar,20.59162765,Private,18930.0,Minivan,1.0,Texas,42420.0
3,62977.82416,No,F,Bachelors,Clerical,33.63994919,Private,13591.978417266188,SUV,1.0,Texas,42420.0
4,77099.96624,No,F,High School,Lawyer,15.41567565,Private,18300.0,Sports Car,11.0,Texas,42420.0
5,130794.5742,No,M,High School,Blue Collar,34.282098449290075,Commercial,28340.0,Panel Truck,10.0,Texas,42420.0
6,50025.16216952308,No,F,High School,Home Maker,48.36019147,Private,6000.0,SUV,5.0,Texas,42420.0
7,87460.05269,No,M,High School,Manager,45.0004876,Private,15420.0,Minivan,1.0,Texas,42420.0
8,50025.16216952308,Yes,F,High School,Blue Collar,15.66594707,Private,11290.0,Sports Car,1.0,Texas,50712.19666666666
9,50025.16216952308,No,F,High School,Clerical,26.39296083,Private,10030.0,SUV,1.0,Texas,42420.0
10,50025.16216952308,Yes,M,High School,Blue Collar,27.49074868,Private,13591.978417266188,Panel Truck,6.265017667844523,Texas,42420.0
11,16988.72135,No,M,High School,Blue Collar,20.45001583,Private,13591.978417266188,Pickup,6.0,Texas,42420.0
12,50025.16216952308,No,F,High School,Blue Collar,61.60320818,Commercial,9360.0,Sports Car,6.265017667844523,Houston,42420.0
13,16352.02931,Yes,F,High School,Home Maker,34.282098449290075,Private,10520.0,SUV,1.0,Texas,42420.0
14,63952.17766,Yes,F,Masters,Lawyer,49.57689468,Private,32340.0,Van,13.0,Texas,42420.0
15,24059.72157,No,M,Bachelors,Clerical,24.4301981,Private,14220.0,Minivan,10.0,Texas,42420.0
16,20821.8463,Yes,F,High School,Home Maker,45.90771277,Private,6880.0,SUV,1.0,Texas,42420.0
17,50025.16216952308,No,F,High School,Blue Collar,42.50081473,Private,13591.978417266188,SUV,4.0,Texas,50712.19666666666
