iter	RMSE
0	36991.07451
1	36650.79501
2	36295.13561
3	36001.77768
4	35734.10318
5	35384.84522
6	35065.81541
7	34839.39179
8	34578.98725
9	34228.82405
10	33952.73007
11	33691.60635
12	33431.49145
13	33181.35032
14	33037.15998
15	32787.9924
16	32545.08528
17	32305.2367
18	32090.28644
19	31891.59483
20	31664.79454
21	31496.47444
22	31418.6247
23	31276.58941
24	31036.64907
25	30818.70977
26	30617.77482
27	30440.88941
28	30317.92045
29	30124.6864
30	29950.14235
31	29720.76246
32	29513.32042
33	29344.40133
34	29146.35464
35	28962.66602
36	28794.60012
37	28631.14388
38	28460.09046
39	28334.83494
40	28189.68018
41	28035.98847
42	27882.71669
43	27742.8221
44	27614.45728
45	27498.28958
46	27344.85557
47	27248.36164
48	27064.5286
49	26916.62806
50	26722.07889
51	26585.89331
52	26449.43448
53	26364.27027
54	26254.9579
55	26090.31729
56	25901.53887
57	25776.56204
58	25669.88748
59	25562.9164
60	25422.97916
61	25249.30625
62	25140.5801
63	24985.88103
64	24897.5812
65	24771.97011
66	24611.00551
67	24479.37355
68	24369.38988
69	24248.74947
70	24169.16574
71	24052.67996
72	23927.0208
73	23830.47786
74	23706.67702
75	23607.25316
76	23521.20804
77	23473.73777
78	23412.53846
79	23337.60545
80	23272.19507
81	23186.79974
82	23109.52711
83	23036.63505
84	22936.30345
85	22839.93681
86	22777.42056
87	22680.51203
88	22609.11102
89	22494.30565
90	22405.5883
91	22306.0841
92	22255.51101
93	22177.03788
94	22099.31195
95	22004.46644
96	21919.96583
97	21826.52348
98	21771.7395
99	21698.15051
100	21592.0523
101	21548.54812
102	21468.06834
103	21387.80538
104	21302.15863
105	21225.20619
106	21154.45754
107	21100.62392
108	21024.96852
109	20961.68565
110	20913.15643
111	20860.10383
112	20799.43982
113	20717.39146
114	20659.80564
115	20594.92959
116	20557.5983
117	20512.36489
118	20469.42828
119	20422.58428
120	20350.14356
121	20271.65316
122	20195.90962
123	20126.47365
124	20063.40784
125	19992.51289
126	19911.35221
127	19855.90972
128	19810.10594
129	19754.59254
130	19706.68919
131	19641.71028
132	19595.15802
133	19553.79401
134	19477.55484
135	19418.45689
136	19358.36074
137	19300.8433
138	19231.84206
139	19186.19598
140	19124.84556
141	19053.72214
142	19012.43737
143	18958.50474
144	18918.47264
145	18861.55549
146	18781.16568
147	18719.03862
148	18653.59486
149	18591.84547
150	18535.28558
151	18509.71791
152	18446.6432
153	18385.46553
154	18346.90586
155	18271.44125
156	18221.83076
157	18186.7855
158	18156.47966
159	18105.98274
160	18054.89896
161	18020.11339
162	17970.48503
163	17922.42468
164	17887.98022
165	17845.58901
166	17810.32576
167	17766.56819
168	17728.19514
169	17681.17013
170	17625.3027
171	17556.88443
172	17491.67168
173	17438.23262
174	17412.15582
175	17360.6369
176	17314.26976
177	17285.44196
178	17244.86903
179	17190.63652
180	17157.25745
181	17117.75465
182	17082.57023
183	17020.48101
184	16988.6515
185	16966.02812
186	16930.06378
187	16882.23618
188	16850.22292
189	16796.16765
190	16766.62622
191	16726.81149
192	16669.81244
193	16627.3555
194	16574.68581
195	16532.49438
196	16481.67111
197	16454.59496
198	16420.96173
199	16394.02965
200	16358.37932
201	16322.03627
202	16261.70515
203	16213.82322
204	16169.2072
205	16149.13028
206	16107.71329
207	16071.27147
208	16022.53287
209	16003.83381
210	15940.0678
211	15888.97268
212	15848.46385
213	15791.11369
214	15754.37963
215	15692.9086
216	15639.08099
217	15615.37945
218	15588.02766
219	15540.44579
220	15459.75854
221	15417.85354
222	15405.02171
223	15349.8246
224	15309.53105
225	15271.25445
226	15233.26645
227	15175.23714
228	15145.70045
229	15121.90717
230	15076.70362
231	15030.18255
232	14979.61278
233	14960.62941
234	14912.03554
235	14884.58007
236	14853.39534
237	14830.24376
238	14795.59408
239	14759.0055
240	14719.99293
241	14696.08546
242	14683.00447
243	14658.7509
244	14640.69155
245	14592.33464
246	14556.45272
247	14524.91421
248	14497.8352
249	14436.07991
250	14407.72444
251	14372.64108
252	14320.19882
253	14293.62725
254	14259.58757
255	14228.72651
256	14196.82483
257	14161.44887
258	14141.70087
259	14119.13076
260	14064.18418
261	14026.83142
262	14004.54784
263	13993.33132
264	13953.88276
265	13931.83782
266	13901.19126
267	13891.83939
268	13845.66873
269	13804.42206
270	13783.00495
271	13747.07
272	13698.934
273	13679.73382
274	13644.82227
275	13627.74558
276	13611.7745
277	13588.88894
278	13561.42681
279	13541.03582
280	13523.23397
281	13502.31659
282	13468.36359
283	13425.01856
284	13388.43686
285	13352.82197
286	13320.47236
287	13273.91612
288	13226.10834
289	13195.97337
290	13177.32791
291	13163.06597
292	13136.43399
293	13127.77653
294	13102.13127
295	13064.43055
296	13015.87514
297	12980.53836
298	12970.23136
299	12913.6694
300	12887.56416
301	12864.37326
302	12821.29889
303	12811.09154
304	12761.10639
305	12749.38271
306	12732.82643
307	12713.06563
308	12695.09255
309	12649.36603
310	12614.81497
311	12595.47432
312	12567.90607
313	12559.34645
314	12514.70815
315	12478.28987
316	12436.71981
317	12401.83677
318	12363.19685
319	12350.36215
320	12316.92158
321	12293.15976
322	12286.0876
323	12257.1303
324	12213.43225
325	12183.56058
326	12172.22162
327	12130.46796
328	12078.18697
329	12044.77405
330	11995.9258
331	11953.06518
332	11920.9971
333	11908.58855
334	11888.47909
335	11883.45581
336	11862.37578
337	11826.0882
338	11805.50618
339	11795.82433
340	11762.43819
341	11745.45952
342	11723.67054
343	11678.62668
344	11655.55644
345	11621.5143
346	11602.1071
347	11565.51664
348	11541.72499
349	11490.15066
350	11482.31259
351	11469.719
352	11449.58997
353	11412.37312
354	11407.96249
355	11380.24386
356	11354.38959
357	11330.5564
358	11303.25734
359	11254.99353
360	11226.36241
361	11199.0497
362	11171.6631
363	11154.4705
364	11140.85671
365	11129.23669
366	11123.04386
367	11088.42594
368	11079.47007
369	11042.64828
370	11017.46062
371	10987.99535
372	10960.12805
373	10939.5049
374	10915.09445
375	10898.84761
376	10876.40808
377	10842.92074
378	10832.79458
379	10826.01781
380	10818.77704
381	10813.63971
382	10808.17667
383	10804.54609
384	10763.28783
385	10754.07289
386	10724.90183
387	10701.85068
388	10680.14601
389	10662.12354
390	10638.40202
391	10616.72187
392	10601.12485
393	10584.60337
394	10581.17606
395	10569.19541
396	10543.63422
397	10540.32361
398	10519.40266
399	10506.3501
400	10503.0653
401	10479.72932
402	10447.27459
403	10425.33944
404	10411.04404
405	10407.89182
406	10379.58043
407	10366.6921
408	10345.56755
409	10309.23487
410	10306.09863
411	10282.56065
412	10254.42133
413	10242.45513
414	10239.41332
415	10223.9426
416	10221.32183
417	10203.04413
418	10144.20663
419	10131.52777
420	10118.42026
421	10107.38191
422	10080.35746
423	10043.40941
424	10038.1243
425	10024.21451
426	10019.85462
427	10016.44469
428	10013.63601
429	10004.92409
430	9990.512533
431	9987.795792
432	9984.495283
433	9981.884271
434	9979.312701
435	9971.907447
436	9963.578978
437	9939.289917
438	9937.068604
439	9910.283568
440	9907.52434
441	9892.658264
442	9881.629155
443	9852.649617
444	9826.842859
445	9803.504396
446	9777.137225
447	9754.607733
448	9752.17233
449	9744.382022
450	9741.138791
451	9738.82332
452	9723.628237
453	9696.066275
454	9678.762172
455	9652.030928
456	9643.763055
457	9639.606426
458	9620.145737
459	9616.197293
460	9596.710769
461	9583.831679
462	9581.695035
463	9559.446161
464	9530.604928
465	9518.597182
466	9493.680931
467	9487.198899
468	9474.513158
469	9463.071934
470	9460.793437
471	9458.794206
472	9454.674218
473	9428.02256
474	9400.236334
475	9390.132389
476	9375.804953
477	9373.860454
478	9347.670746
479	9329.857339
480	9324.364984
481	9313.88501
482	9276.999297
483	9274.256298
484	9262.555529
485	9260.695384
486	9258.873963
487	9222.315174
488	9178.665751
489	9157.769449
490	9147.723947
491	9125.612532
492	9122.231133
493	9097.647983
494	9092.410536
495	9090.577966
496	9066.167405
497	9043.247935
498	9019.031521
499	8992.28625
500	8979.25808
501	8965.36697
502	8945.023205
503	8920.288338
504	8911.216776
505	8885.69905
506	8861.111199
507	8823.500975
508	8810.268118
509	8801.712927
510	8774.332516
511	8772.439177
512	8763.614539
513	8761.322321
514	8724.45672
515	8722.700719
516	8693.785849
517	8675.690755
518	8639.955599
519	8602.853837
520	8594.815674
521	8592.874483
522	8581.794984
523	8561.760886
524	8549.489425
525	8531.408534
526	8518.731932
527	8503.322221
528	8494.4186
529	8459.059472
530	8449.750354
531	8429.670334
532	8427.877695
533	8412.866978
534	8395.815085
535	8364.942851
536	8363.349838
537	8329.978127
538	8304.086132
539	8297.558822
540	8290.348355
541	8267.791354
542	8242.582184
543	8228.009813
544	8205.924284
545	8204.429188
546	8177.954875
547	8158.798518
548	8133.741023
549	8126.513756
550	8103.799156
551	8070.243235
552	8062.425954
553	8043.181585
554	8024.902122
555	8000.351421
556	7972.53709
557	7949.209729
558	7942.98721
559	7941.297924
560	7939.800967
561	7932.775814
562	7911.113002
563	7909.505681
564	7903.535496
565	7886.9374
566	7880.919714
567	7879.377029
568	7856.519003
569	7847.996141
570	7830.710847
571	7807.324261
572	7792.635071
573	7767.610652
574	7750.36224
575	7732.627517
576	7714.65443
577	7694.186756
578	7692.722718
579	7673.115236
580	7652.380593
581	7637.64836
582	7632.163262
583	7629.884878
584	7610.684623
585	7592.7165
586	7572.333023
587	7548.527719
588	7547.180541
589	7538.228778
590	7536.726504
591	7506.56745
592	7488.528677
593	7472.607603
594	7456.334025
595	7446.637641
596	7426.6299
597	7401.111591
598	7380.011075
599	7356.185062
600	7343.973478
601	7313.003297
602	7297.950935
603	7280.972004
604	7255.856416
605	7236.77747
606	7208.74612
607	7198.645107
608	7184.342184
609	7169.930777
