iter	Passed	Remaining
0	144	144529
1	147	73727
2	151	50202
3	154	38402
4	158	31488
5	162	26853
6	166	23606
7	171	21205
8	175	19270
9	178	17692
10	182	16424
11	187	15413
12	190	14461
13	193	13656
14	195	12838
15	199	12273
16	203	11742
17	206	11272
18	211	10901
19	214	10493
20	217	10140
21	219	9761
22	220	9369
23	223	9071
24	225	8803
25	228	8553
26	231	8328
27	233	8108
28	235	7894
29	237	7680
30	239	7484
31	241	7292
32	242	7104
33	243	6932
34	245	6771
35	247	6616
36	248	6462
37	249	6313
38	250	6172
39	251	6042
40	252	5915
41	254	5801
42	255	5687
43	256	5579
44	257	5462
45	258	5359
46	259	5262
47	260	5166
48	261	5075
49	262	4989
50	263	4905
51	264	4824
52	265	4748
53	266	4675
54	267	4603
55	268	4527
56	269	4460
57	270	4396
58	271	4334
59	272	4273
60	273	4215
61	274	4159
62	275	4104
63	277	4051
64	278	4003
65	279	3954
66	280	3904
67	281	3858
68	282	3811
69	283	3766
70	284	3724
71	285	3681
72	286	3640
73	287	3598
74	288	3559
75	289	3521
76	290	3482
77	290	3438
78	291	3402
79	292	3366
80	293	3330
81	294	3298
82	295	3265
83	296	3234
84	297	3204
85	298	3174
86	299	3145
87	301	3119
88	302	3093
89	303	3066
90	304	3040
91	305	3014
92	306	2988
93	306	2958
94	308	2934
95	309	2911
96	310	2889
97	311	2865
98	312	2842
99	313	2821
100	314	2799
101	315	2777
102	316	2757
103	317	2736
104	318	2715
105	319	2696
106	320	2677
107	321	2658
108	322	2639
109	324	2623
110	325	2607
111	326	2589
112	327	2571
113	328	2554
114	329	2538
115	330	2521
116	331	2505
117	333	2489
118	333	2470
119	334	2454
120	335	2439
121	336	2423
122	337	2409
123	338	2393
124	339	2378
125	340	2362
126	341	2348
127	342	2334
128	343	2321
129	344	2307
130	345	2293
131	346	2280
132	347	2266
133	348	2254
134	349	2241
135	350	2227
136	351	2214
137	352	2201
138	353	2188
139	354	2175
140	355	2163
141	356	2151
142	357	2140
143	358	2130
144	359	2119
145	360	2108
146	361	2097
147	362	2086
148	363	2074
149	364	2063
150	365	2052
151	366	2042
152	366	2031
153	367	2020
154	368	2010
155	369	2000
156	370	1990
157	372	1983
158	373	1973
159	374	1963
160	375	1954
161	375	1944
162	376	1935
163	377	1925
164	378	1916
165	379	1907
166	380	1897
167	381	1888
168	382	1879
169	383	1870
170	383	1861
171	384	1853
172	385	1844
173	386	1836
174	387	1827
175	388	1819
176	389	1810
177	390	1802
178	391	1794
179	391	1785
180	392	1777
181	394	1771
182	395	1765
183	396	1757
184	397	1749
185	397	1741
186	398	1733
187	399	1726
188	400	1719
189	401	1711
190	402	1704
191	403	1697
192	404	1690
193	405	1683
194	406	1676
195	407	1669
196	408	1663
197	408	1656
198	409	1649
199	410	1643
200	411	1636
201	412	1631
202	414	1625
203	415	1620
204	416	1614
205	417	1609
206	418	1603
207	419	1597
208	420	1590
209	421	1584
210	421	1577
211	422	1571
212	423	1565
213	424	1559
214	425	1553
215	426	1548
216	427	1542
217	428	1536
218	429	1531
219	430	1525
220	431	1519
221	432	1514
222	432	1508
223	433	1503
224	434	1497
225	435	1491
226	436	1486
227	437	1481
228	438	1476
229	439	1470
230	440	1466
231	441	1462
232	442	1457
233	443	1452
234	444	1447
235	445	1442
236	446	1438
237	447	1433
238	448	1428
239	449	1424
240	450	1419
241	451	1415
242	452	1410
243	453	1406
244	455	1402
245	455	1397
246	456	1392
247	457	1388
248	458	1383
249	459	1378
250	460	1374
251	461	1369
252	462	1365
253	463	1360
254	464	1357
255	465	1353
256	466	1349
257	467	1345
258	468	1341
259	469	1337
260	470	1332
261	471	1328
262	472	1324
263	473	1321
264	474	1316
265	475	1312
266	476	1308
267	477	1304
268	478	1300
269	479	1296
270	480	1291
271	481	1287
272	481	1283
273	482	1279
274	483	1275
275	484	1271
276	485	1267
277	486	1263
278	487	1260
279	488	1257
280	489	1253
281	490	1249
282	491	1245
283	492	1241
284	493	1238
285	494	1234
286	495	1230
287	496	1226
288	497	1222
289	498	1219
290	499	1215
291	500	1212
292	500	1208
293	501	1205
294	502	1201
295	503	1198
296	504	1194
297	505	1191
298	506	1187
299	507	1184
300	508	1180
301	509	1177
302	510	1175
303	511	1171
304	512	1168
305	513	1165
306	514	1161
307	515	1158
308	516	1154
309	517	1151
310	518	1147
311	519	1144
312	520	1141
313	521	1138
314	521	1134
315	522	1131
316	523	1128
317	524	1124
318	525	1121
319	526	1118
320	527	1115
321	528	1112
322	529	1108
323	529	1105
324	530	1102
325	531	1099
326	532	1096
327	534	1094
328	535	1091
329	536	1088
330	536	1085
331	537	1082
332	538	1079
333	539	1076
334	540	1073
335	541	1070
336	542	1067
337	543	1064
338	544	1061
339	545	1058
340	546	1055
341	547	1052
342	548	1049
343	549	1046
344	550	1044
345	550	1041
346	551	1038
347	552	1035
348	553	1032
349	554	1029
350	555	1026
351	556	1024
352	557	1022
353	558	1019
354	559	1017
355	560	1014
356	561	1011
357	562	1008
358	563	1005
359	564	1003
360	565	1000
361	566	998
362	567	995
363	568	992
364	569	990
365	570	987
366	570	984
367	571	982
368	572	979
369	573	976
370	574	973
371	575	971
372	576	968
373	576	965
374	577	963
375	578	960
376	579	958
377	581	956
378	582	953
379	583	951
380	584	949
381	585	946
382	586	944
383	587	941
384	588	939
385	589	937
386	590	934
387	590	932
388	591	929
389	592	927
390	593	924
391	594	922
392	595	919
393	596	917
394	597	914
395	598	912
396	599	909
397	599	907
398	601	905
399	602	903
400	603	901
401	604	899
402	605	897
403	606	894
404	607	892
405	608	890
406	609	887
407	610	885
408	611	883
409	612	880
410	612	878
411	613	876
412	614	873
413	615	871
414	616	869
415	617	867
416	618	865
417	619	863
418	620	860
419	621	858
420	622	856
421	623	853
422	624	851
423	625	849
424	626	847
425	627	845
426	628	843
427	629	841
428	630	839
429	632	838
430	633	836
431	634	834
432	635	831
433	636	829
434	637	827
435	637	825
436	638	822
437	639	820
438	640	818
439	641	816
440	642	813
441	643	811
442	644	809
443	644	807
444	645	805
445	646	803
446	647	801
447	648	799
448	649	797
449	651	795
450	651	793
451	652	791
452	653	789
453	654	787
454	655	785
455	656	783
456	657	781
457	658	779
458	659	777
459	660	775
460	661	773
